key,zh_TW
ui.money.format,NT$%.0f
ui.time.format,%02d:%02d
ui.game.day_label,第 %d 天
ui.game.year_label,第 %d 年
ui.game.open,營業中
ui.game.closed,休息中
ui.game.paused,遊戲暫停
ui.game.resumed,繼續遊戲
ui.game.day_start,開始營業
ui.game.day_end,今日結束
ui.game.income_summary,今日收入：NT$%.0f
ui.game.year_advance,進入第 %d 年
ui.timescale.normal,正常速度
ui.timescale.fast,2 倍速
ui.timescale.fastest,4 倍速
ui.reputation.label,名聲
ui.money.label,資金
ui.money.insufficient,資金不足
ui.save.saving,存檔中…
ui.save.success,存檔成功
ui.save.failed,存檔失敗
ui.save.loading,讀取存檔中…
ui.save.load_success,讀取成功
ui.save.load_failed,讀取失敗，存檔可能已損毀
ui.save.not_found,找不到存檔
ui.save.auto_save,自動存檔完成
ui.seat.empty,空位
ui.seat.waiting,保留中
ui.seat.occupied,使用中
ui.seat.no_available,目前無空位
ui.menu.category.stir_fry,炒菜
ui.menu.category.grilled,烤類
ui.menu.category.cold_dish,涼菜
ui.menu.category.drink,飲料
ui.menu.category.soup,湯品
ui.menu.unlocked,已解鎖
ui.menu.locked,尚未解鎖
ui.menu.sold_out,售完
ui.order.placed,已下單
ui.order.cooking,料理中
ui.order.ready,餐點完成
ui.order.served,已送餐
ui.task.cook,炒菜
ui.task.serve,送餐
ui.task.clear,清桌
ui.task.restock,補貨
customer.state.entering,入場中
customer.state.waiting,等候座位中
customer.state.eating,用餐中
customer.state.satisfied,滿意
customer.state.angry,生氣離場
customer.state.leaving,離場中
customer.patience.warning,客人快沒耐心了！
customer.patience.depleted,客人因等太久憤而離席
customer.order.placed,客人已下單
customer.arrived,客人進門
customer.left.satisfied,客人滿意離去
customer.left.angry,客人不滿離去
staff.state.idle,待機中
staff.state.walk,前往工作中
staff.state.working,工作中
staff.state.satisfied,任務完成
staff.state.angry,士氣低落
staff.morale.warning,員工士氣偏低，請注意！
staff.morale.depleted,員工士氣歸零，需要休息
staff.task.assigned,已指派任務
staff.task.completed,任務完成
staff.task.queue_full,任務排程已滿
staff.idle.too_long,員工閒置過久
event.day_started,今天開始營業囉！
event.day_ended,今日打烊，辛苦了！
event.year_advanced,恭喜進入新的一年！解鎖了新的挑戰！
event.reputation_up,名聲提升！
event.reputation_down,名聲下降，需要努力改善！
event.money_earned,收入 NT$%.0f
event.money_spent,支出 NT$%.0f
event.new_dish_unlocked,新菜色解鎖：%s
event.new_staff_available,新員工可招募：%s
event.auto_saved,已自動存檔
system.loading,載入中…
system.error.save_dir,無法建立存檔目錄
system.error.save_write,存檔寫入失敗
system.error.save_read,存檔讀取失敗
system.error.save_corrupt,存檔格式錯誤，存檔可能已損毀
system.error.dish_file_missing,找不到菜品資料檔，請確認遊戲完整性
system.error.dish_file_invalid,菜品資料格式錯誤
system.error.pathfinding_not_init,尋路系統尚未初始化
system.error.seat_duplicate,座位重複登記
system.error.seat_not_found,座位不存在
system.confirm.new_game,確定要開始新遊戲嗎？目前進度將不會保留。
system.confirm.delete_save,確定要刪除存檔嗎？此操作無法復原。
